WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,target,AgeYears,PetType_Bird,PetType_Cat,PetType_Dog,PetType_Rabbit,Breed_Golden Retriever,Breed_Labrador,Breed_Parakeet,Breed_Persian,Breed_Poodle,Breed_Rabbit,Breed_Siamese,Color_Black,Color_Brown,Color_Gray,Color_Orange,Color_White,Size_Large,Size_Medium,Size_Small
7.4895732018583105,0,0,70,476,0,0,14.33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
23.9030914383044,1,0,85,437,0,0,12.33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
26.03947042113125,1,0,52,451,0,0,7.75,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
17.110226973818868,0,0,6,298,0,0,8.83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
10.598766480498687,1,0,27,10,0,1,7.42,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
14.986448395890092,1,0,55,449,0,0,11.42,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
26.171032618061805,1,0,41,465,0,1,1.75,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
16.52848354005167,1,0,30,192,1,1,0.83,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
11.7123437691983,1,0,22,388,0,0,10.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
16.734688123531825,1,0,73,251,1,1,1.33,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
21.85073194874376,1,0,85,203,0,1,3.25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22.15599092862054,1,0,19,250,1,1,13.83,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
21.53028655645985,1,0,82,390,0,1,8.33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
21.31319109730638,0,0,17,261,0,0,11.83,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1.9663727837457448,1,0,42,251,1,0,12.92,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
12.196876476287043,0,0,10,443,1,0,0.17,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.507110173432595,1,1,33,117,0,0,8.42,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
22.173775445516323,0,1,7,233,0,0,13.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
17.121448495155292,0,1,7,472,0,0,1.75,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
11.411022274298649,1,0,2,181,0,1,7.08,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27.521258460259624,1,1,61,96,1,0,8.17,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
11.91065197247454,1,0,64,417,0,0,12.67,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
27.36281374400521,1,0,44,351,0,1,1.83,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
29.53944763096088,1,0,15,361,0,0,14.17,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
9.171957777768714,0,0,38,52,0,0,10.33,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
