WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AgeYears,PetType_Bird,PetType_Cat,PetType_Dog,PetType_Rabbit,Breed_Golden Retriever,Breed_Labrador,Breed_Parakeet,Breed_Persian,Breed_Poodle,Breed_Rabbit,Breed_Siamese,Color_Black,Color_Brown,Color_Gray,Color_Orange,Color_White,Size_Large,Size_Medium,Size_Small
10.0,0.6580544918817243,-0.510687043964821,12.0,100.0,-0.6551392828737879,5.0,-0.5607997097862253,-0.5723140958578758,-0.596300531883315,1.7241729255581422,-0.2968763938415093,-0.335061355972473,-0.5607997097862253,-0.3783680657275309,-0.29563215992807657,1.7241729255581422,-0.37188421899890506,-0.5,2.0236694629405503,-0.4941518456017623,-0.5135947113815086,-0.49805219360858194,-0.6893357843093684,1.3402116427589934,-0.6863872129122861
7.0,-1.5196309915619197,1.9581464065277625,40.0,250.0,1.526392976488099,3.0,-0.5607997097862253,1.7472922775054849,-0.596300531883315,-0.5799882280811736,-0.2968763938415093,-0.335061355972473,-0.5607997097862253,-0.3783680657275309,-0.29563215992807657,-0.5799882280811736,2.6890089681459286,-0.5,-0.4941518456017623,-0.4941518456017623,1.9470605476254206,-0.49805219360858194,-0.6893357843093684,1.3402116427589934,-0.6863872129122861
1.0,0.6580544918817243,1.9581464065277625,26.0,70.0,1.526392976488099,6.0,1.7831678272108884,-0.5723140958578758,-0.596300531883315,-0.5799882280811736,-0.2968763938415093,-0.335061355972473,1.7831678272108884,-0.3783680657275309,-0.29563215992807657,-0.5799882280811736,-0.37188421899890506,-0.5,-0.4941518456017623,2.0236694629405503,-0.5135947113815086,-0.49805219360858194,-0.6893357843093684,-0.7461508078987994,1.456903597835222
20.0,0.6580544918817243,1.9581464065277625,32.0,300.0,1.526392976488099,3.0,-0.5607997097862253,1.7472922775054849,-0.596300531883315,-0.5799882280811736,-0.2968763938415093,-0.335061355972473,-0.5607997097862253,2.642929175529619,-0.29563215992807657,-0.5799882280811736,-0.37188421899890506,-0.5,2.0236694629405503,-0.4941518456017623,-0.5135947113815086,-0.49805219360858194,1.450671824620102,-0.7461508078987994,-0.6863872129122861
35.0,0.6580544918817243,1.9581464065277625,40.0,120.0,1.526392976488099,13.0,-0.5607997097862253,-0.5723140958578758,1.6770067214960687,-0.5799882280811736,-0.2968763938415093,2.9845280041251763,-0.5607997097862253,-0.3783680657275309,-0.29563215992807657,-0.5799882280811736,-0.37188421899890506,2.0,-0.4941518456017623,-0.4941518456017623,-0.5135947113815086,-0.49805219360858194,1.450671824620102,-0.7461508078987994,-0.6863872129122861
15.0,0.6580544918817243,-0.510687043964821,28.0,57.0,-0.6551392828737879,10.0,-0.5607997097862253,-0.5723140958578758,-0.596300531883315,1.7241729255581422,-0.2968763938415093,-0.335061355972473,-0.5607997097862253,-0.3783680657275309,-0.29563215992807657,1.7241729255581422,-0.37188421899890506,-0.5,-0.4941518456017623,-0.4941518456017623,-0.5135947113815086,2.007821695864064,-0.6893357843093684,-0.7461508078987994,1.456903597835222
2.0,0.6580544918817243,-0.510687043964821,3.0,250.0,-0.6551392828737879,0.49999999999999983,-0.5607997097862253,1.7472922775054849,-0.596300531883315,-0.5799882280811736,-0.2968763938415093,-0.335061355972473,-0.5607997097862253,2.642929175529619,-0.29563215992807657,-0.5799882280811736,-0.37188421899890506,-0.5,2.0236694629405503,-0.4941518456017623,-0.5135947113815086,-0.49805219360858194,1.450671824620102,-0.7461508078987994,-0.6863872129122861
3.0,0.6580544918817243,1.9581464065277625,20.0,232.0,-0.6551392828737879,0.5999999999999998,-0.5607997097862253,-0.5723140958578758,1.6770067214960687,-0.5799882280811736,-0.2968763938415093,-0.335061355972473,-0.5607997097862253,-0.3783680657275309,3.382581922897992,-0.5799882280811736,-0.37188421899890506,-0.5,2.0236694629405503,-0.4941518456017623,-0.5135947113815086,-0.49805219360858194,-0.6893357843093684,1.3402116427589934,-0.6863872129122861
45.0,0.6580544918817243,-0.510687043964821,50.0,452.0,-0.6551392828737879,6.0,-0.5607997097862253,-0.5723140958578758,1.6770067214960687,-0.5799882280811736,3.368405237817125,-0.335061355972473,-0.5607997097862253,-0.3783680657275309,-0.29563215992807657,-0.5799882280811736,-0.37188421899890506,-0.5,-0.4941518456017623,-0.4941518456017623,1.9470605476254206,-0.49805219360858194,-0.6893357843093684,-0.7461508078987994,1.456903597835222
27.0,0.6580544918817243,-0.510687043964821,45.0,179.0,1.526392976488099,2.5,-0.5607997097862253,-0.5723140958578758,1.6770067214960687,-0.5799882280811736,-0.2968763938415093,2.9845280041251763,-0.5607997097862253,-0.3783680657275309,-0.29563215992807657,-0.5799882280811736,-0.37188421899890506,-0.5,2.0236694629405503,-0.4941518456017623,-0.5135947113815086,-0.49805219360858194,-0.6893357843093684,1.3402116427589934,-0.6863872129122861
